1	横式问题
1.1	巧添算符
1.1.1	24点
1.1.2	凑数法与逆推法
1.1.2.1	加减法
1.1.2.2	添去括号
1.1.2.3	加减乘除及括号
1.1.2.4	含约束条件
1.1.3	最值
1.2	数论解数字谜
1.2.1	奇偶分析法
1.2.2	整除性质
1.2.3	尾数分析
1.2.4	利用因数分解
1.3	复杂的横式数字谜
1.3.1	分情况试算
1.3.2	与逻辑推理结合
1.3.3	位置原理
1.3.4	与竖式结合
1.4	分数小数横式问题
2	竖式问题
2.1	加减法竖式基础
2.1.1	加法竖式
2.1.1.1	个位突破
2.1.1.2	进位突破
2.1.1.3	首位突破
2.1.2	减法竖式
2.1.2.1	减法竖式基础
2.1.2.2	黄金倒三角
2.2	乘除法竖式基础
2.2.1	乘法竖式
2.1.1.1	个位突破
2.1.1.2		首位突破
2.1.1.3		乘法竖式综合
2.2.2	除法竖式
2.2.2.1	除法竖式基础
2.2.2.2	除法竖式综合
2.3	复杂竖式谜
2.3.1	与分类讨论结合
2.3.2	与位置原理结合
2.3.2.1	数字和
2.3.2.2	特殊数
2.3.3	与最值结合
2.3.4	与数论结合
2.3.4.1	与整除结合
2.3.4.2	与分解质因数结合
2.3.4.3	与同余结合
2.3.5	与不等式结合
3	数阵图与幻方
3.1	封闭型数阵图
3.1.1	点型
3.1.2	块型
3.1.3	点块结合型
3.1.4	体型
3.1.5	四连方
3.1.6	运算型
3.2	辐射型数阵图
3.2.1	点型
3.2.2	块型
3.3	复合型数阵图
3.3.1	数阵图与数论
3.3.2	杨辉三角形
3.4	幻方
3.4.1	三阶幻方
3.4.1.1	构造幻方
3.4.1.2	求幻和
3.4.1.3	求中间数
3.4.1.4	求角数
3.4.1.5	综合型
3.4.2	四阶幻方
3.4.3	幻方拓展
